Symbol,Security,GICS Sector,GICS Sub-Industry,Headquarters Location
BCO,Brink's,Industrials,Security & Alarm Services,"Richmond, Virginia"
BDC,Belden Inc.,Information Technology,Electronic Components,"St. Louis, Missouri"
BHF,Brighthouse Financial,Financials,Life & Health Insurance,"Charlotte, North Carolina"
BILL,Bill Holdings,Information Technology,Application Software,"San Jose, California"
BIO,Bio-Rad Laboratories,Health Care,Life Sciences Tools & Services,"Hercules, California"
BJ,BJ's Wholesale Club,Consumer Staples,Hypermarkets & Super Centers,"Marlborough, Massachusetts"
BKH,Black Hills Corporation,Utilities,Multi-Utilities,"Rapid City, South Dakota"
BLD,TopBuild Corp.,Consumer Discretionary,Homebuilding,
BLKB,Blackbaud,Information Technology,Application Software,"Charleston, South Carolina"
BMRN,BioMarin Pharmaceutical,Health Care,Biotechnology,"San Rafael, California"
BRBR,BellRing Brands,Consumer Staples,Packaged Foods & Meats,
BRKR,Bruker,Health Care,Health Care Equipment,"Billerica, Massachusetts"
BRX,Brixmor Property Group,Real Estate,Retail REITs,"New York City, New York"
